country_code,total_funding_country,average_funding_country,num_companies_country
alb,0.0,0.0,1
are,77652081.0,2098704.891891892,37
arg,97858456.0,1164981.619047619,84
arm,17145288.5,8572644.25,2
aus,490375013.5,3045807.537267081,161
aut,141089498.5,3527237.4625,40
bel,338949327.5,3259128.1490384615,104
bgd,584475.0,194825.0,3
bgr,30828646.0,833206.6486486486,37
bhr,0.0,0.0,1
bhs,1200000.0,1200000.0,1
bmu,16849812.5,16849812.5,1
bra,431231644.5,2330981.862162162,185
brn,0.0,0.0,1
bwa,21352.0,10676.0,2
can,3090591447.0,4039988.819607843,765
che,498187770.0,4488178.108108108,111
chl,69494015.5,388234.7234636872,179
chn,5460619273.0,6982889.095907928,782
cmr,119561.0,59780.5,2
col,28862963.5,1519103.3421052631,19
cri,277000.0,69250.0,4
cym,56307644.5,9384607.416666666,6
cyp,24707818.5,4117969.75,6
cze,86601743.5,2278993.25,38
deu,1796286807.0,3184905.686170213,564
dnk,266260872.0,2256448.0677966103,118
dom,0.0,0.0,1
dza,1071485.0,63028.529411764706,17
ecu,40000.0,40000.0,1
egy,70418250.0,3912125.0,18
esp,628746750.0,1977191.0377358492,318
est,49972592.0,1998903.68,25
fin,315094506.5,3352069.2180851065,94
fra,1949402748.5,3970270.363543788,491
gbr,5327689302.0,3689535.527700831,1444
gha,244615.0,48923.0,5
grc,8231857.0,587989.7857142857,14
gtm,663600.0,331800.0,2
hkg,268016252.0,3392610.7848101268,79
hrv,4345993.0,724332.1666666666,6
hun,26952500.0,1497361.111111111,18
idn,69800625.0,2792025.0,25
ind,2219769438.5,4386896.123517786,506
irl,550202161.0,3126148.6420454546,176
isl,22076396.5,2759549.5625,8
isr,1919635640.0,5065001.688654354,379
ita,337984326.0,1826942.3027027028,185
jor,2773000.0,184866.66666666666,15
jpn,482945181.0,3136007.6688311687,154
ken,61060086.5,3816255.40625,16
khm,0.0,0.0,7
kor,307729590.0,1960061.0828025478,157
lao,0.0,0.0,1
lbn,7701500.0,770150.0,10
lie,7500000.0,7500000.0,1
ltu,21567660.5,1540547.1785714286,14
lux,44915759.5,4491575.95,10
lva,9592636.0,1370376.5714285714,7
mar,3200000.0,1066666.6666666667,3
mda,14168.0,14168.0,1
mex,68693676.0,1526526.1333333333,45
mlt,429420.0,429420.0,1
mmr,200000.0,200000.0,1
moz,0.0,0.0,1
mys,152964833.5,5463029.767857143,28
nga,66036625.0,3884507.3529411764,17
nic,3519200.0,1759600.0,2
nld,527569775.5,3121714.647928994,169
nor,135919840.0,2613843.076923077,52
npl,200000.0,200000.0,1
nzl,102540699.0,3204396.84375,32
pak,3306500.0,367388.8888888889,9
pan,5055000.0,1263750.0,4
per,4105116.0,228062.0,18
phl,62955412.0,3147770.6,20
pol,71116387.5,1226144.6120689656,58
prt,62163496.0,1480083.238095238,42
rom,17526032.0,1251859.4285714286,14
rus,552907103.5,2608052.375,212
sau,17349812.5,5783270.833333333,3
sgp,582529222.0,2883808.0297029703,202
slv,400000.0,200000.0,2
srb,1829160.0,365832.0,5
svk,4345178.0,1086294.5,4
svn,1728640.0,345728.0,5
swe,650866056.5,3851278.4408284025,169
tha,48305275.0,2542382.8947368423,19
tto,150000.0,150000.0,1
tun,3970000.0,1323333.3333333333,3
tur,205327150.0,2599077.8481012657,79
twn,138596384.5,5330630.173076923,26
tza,7166013.0,796223.6666666666,9
uga,122000.0,20333.333333333332,6
ukr,14208750.0,489956.8965517241,29
ury,4458625.0,743104.1666666666,6
usa,80418269091.5,4900564.84408897,16410
vnm,52359625.0,4363302.083333333,12
zaf,83045922.5,2768197.4166666665,30
