founded_year,status,total_funding,average_funding,total_rounds,num_companies,avg_funding_per_round_agg,avg_funding_per_year_existence_agg
1802,acquired,0.0,,0,0,,
1802,closed,0.0,,0,0,,
1802,operating,9000000.0,9000000.0,1,1,9000000.0,642857.1428571428
1826,acquired,0.0,,0,0,,
1826,closed,0.0,,0,0,,
1826,operating,540000.0,540000.0,1,1,540000.0,36000.0
1838,acquired,0.0,,0,0,,
1838,closed,0.0,,0,0,,
1838,operating,8700000.0,8700000.0,1,1,8700000.0,621428.5714285715
1854,acquired,0.0,,0,0,,
1854,closed,0.0,,0,0,,
1854,operating,0.0,0.0,1,1,0.0,0.0
1857,acquired,0.0,,0,0,,
1857,closed,0.0,,0,0,,
1857,operating,0.0,0.0,1,1,0.0,0.0
1859,acquired,0.0,,0,0,,
1859,closed,0.0,,0,0,,
1859,operating,16849812.5,16849812.5,1,1,16849812.5,1296139.423076923
1860,acquired,0.0,,0,0,,
1860,closed,0.0,,0,0,,
1860,operating,2000000.0,2000000.0,1,1,2000000.0,80000.0
1863,acquired,16849812.5,8424906.25,5,2,2106226.5625,290514.0086206897
1863,closed,0.0,,0,0,,
1863,operating,0.0,,0,0,,
1864,acquired,0.0,,0,0,,
1864,closed,0.0,,0,0,,
1864,operating,13400000.0,13400000.0,1,1,13400000.0,1030769.2307692308
1865,acquired,0.0,,0,0,,
1865,closed,0.0,,0,0,,
1865,operating,16849812.5,16849812.5,1,1,16849812.5,936100.6944444445
1870,acquired,0.0,,0,0,,
1870,closed,0.0,,0,0,,
1870,operating,0.0,0.0,1,1,0.0,0.0
1872,acquired,0.0,,0,0,,
1872,closed,0.0,,0,0,,
1872,operating,6000000.0,6000000.0,2,1,3000000.0,500000.0
1879,acquired,0.0,,0,0,,
1879,closed,0.0,,0,0,,
1879,operating,33699625.0,16849812.5,2,2,16849812.5,596764.1927083334
1881,acquired,0.0,,0,0,,
1881,closed,0.0,,0,0,,
1881,operating,5500.0,5500.0,1,1,5500.0,392.85714285714283
1884,acquired,0.0,,0,0,,
1884,closed,0.0,,0,0,,
1884,operating,16849812.5,16849812.5,1,1,16849812.5,673992.5
1885,acquired,0.0,,0,0,,
1885,closed,0.0,,0,0,,
1885,operating,1000000.0,1000000.0,1,1,1000000.0,76923.07692307692
1886,acquired,0.0,,0,0,,
1886,closed,0.0,,0,0,,
1886,operating,4500000.0,2250000.0,2,2,2250000.0,150000.0
1887,acquired,0.0,,0,0,,
1887,closed,0.0,,0,0,,
1887,operating,15510000.0,15510000.0,1,1,15510000.0,1107857.142857143
1888,acquired,0.0,,0,0,,
1888,closed,0.0,,0,0,,
1888,operating,213094.0,213094.0,1,1,213094.0,17757.833333333332
1890,acquired,0.0,,0,0,,
1890,closed,0.0,,0,0,,
1890,operating,2000000.0,2000000.0,1,1,2000000.0,27027.027027027027
1891,acquired,0.0,,0,0,,
1891,closed,0.0,,0,0,,
1891,operating,3600000.0,3600000.0,1,1,3600000.0,240000.0
1892,acquired,0.0,,0,0,,
1892,closed,0.0,,0,0,,
1892,operating,16849812.5,16849812.5,1,1,16849812.5,991165.4411764706
1896,acquired,16849812.5,16849812.5,2,1,8424906.25,1123320.8333333333
1896,closed,0.0,,0,0,,
1896,operating,147500.0,73750.0,2,2,73750.0,4916.666666666667
1897,acquired,0.0,,0,0,,
1897,closed,0.0,,0,0,,
1897,operating,700000.0,700000.0,1,1,700000.0,33333.333333333336
1900,acquired,0.0,,0,0,,
1900,closed,0.0,,0,0,,
1900,operating,35099625.0,11699875.0,6,3,5147170.138888889,783950.947908721
1905,acquired,0.0,,0,0,,
1905,closed,0.0,,0,0,,
1905,operating,600000.0,600000.0,1,1,600000.0,4958.677685950413
1906,acquired,0.0,,0,0,,
1906,closed,0.0,,0,0,,
1906,operating,27800000.0,9266666.666666666,4,3,8266666.666666667,77222.22222222222
1910,acquired,0.0,,0,0,,
1910,closed,0.0,,0,0,,
1910,operating,5820000.0,1940000.0,3,3,1940000.0,16724.137931034482
1911,acquired,2400000.0,2400000.0,1,1,2400000.0,20869.565217391304
1911,closed,0.0,,0,0,,
1911,operating,0.0,,0,0,,
1912,acquired,0.0,,0,0,,
1912,closed,0.0,,0,0,,
1912,operating,4735000.0,1578333.3333333333,3,3,1578333.3333333333,13845.029239766081
1913,acquired,0.0,,0,0,,
1913,closed,0.0,,0,0,,
1913,operating,16849812.5,16849812.5,1,1,16849812.5,149113.3849557522
1914,acquired,0.0,,0,0,,
1914,closed,0.0,,0,0,,
1914,operating,15300000.0,15300000.0,1,1,15300000.0,136607.14285714287
1917,acquired,0.0,,0,0,,
1917,closed,0.0,,0,0,,
1917,operating,16861812.5,8430906.25,2,2,8430906.25,77347.76376146788
1918,acquired,0.0,,0,0,,
1918,closed,0.0,,0,0,,
1918,operating,157000.0,157000.0,1,1,157000.0,1453.7037037037037
1919,acquired,0.0,,0,0,,
1919,closed,0.0,,0,0,,
1919,operating,700.0,700.0,1,1,700.0,6.542056074766355
1921,acquired,0.0,,0,0,,
1921,closed,0.0,,0,0,,
1921,operating,16897812.5,8448906.25,2,2,8448906.25,80465.77380952382
1922,acquired,0.0,,0,0,,
1922,closed,0.0,,0,0,,
1922,operating,16849812.5,8424906.25,2,2,8424906.25,81008.71394230769
1924,acquired,0.0,,0,0,,
1924,closed,0.0,,0,0,,
1924,operating,32122826.5,10707608.833333334,10,3,6760355.333333333,104976.5571895425
1926,acquired,0.0,,0,0,,
1926,closed,0.0,,0,0,,
1926,operating,807000.0,403500.0,2,2,403500.0,4035.0
1929,acquired,5000000.0,5000000.0,1,1,5000000.0,51546.39175257732
1929,closed,0.0,,0,0,,
1929,operating,0.0,0.0,1,1,0.0,0.0
1930,acquired,0.0,,0,0,,
1930,closed,0.0,,0,0,,
1930,operating,36349211.5,9087302.875,5,4,7899802.875,94659.40494791667
1933,acquired,0.0,,0,0,,
1933,closed,0.0,,0,0,,
1933,operating,16849812.5,16849812.5,1,1,16849812.5,181180.77956989247
1934,acquired,16849812.5,16849812.5,1,1,16849812.5,183150.13586956522
1934,closed,0.0,,0,0,,
1934,operating,0.0,,0,0,,
1943,acquired,0.0,,0,0,,
1943,closed,0.0,,0,0,,
1943,operating,16849812.5,16849812.5,4,1,4212453.125,203009.7891566265
1944,acquired,0.0,,0,0,,
1944,closed,0.0,,0,0,,
1944,operating,5000000.0,5000000.0,1,1,5000000.0,60975.60975609756
1945,acquired,0.0,,0,0,,
1945,closed,0.0,,0,0,,
1945,operating,7400000.0,3700000.0,2,2,3700000.0,45679.01234567901
1946,acquired,0.0,,0,0,,
1946,closed,0.0,,0,0,,
1946,operating,29720219.5,14860109.75,2,2,14860109.75,185751.371875
1947,acquired,0.0,,0,0,,
1947,closed,0.0,,0,0,,
1947,operating,27573812.5,9191270.833333334,3,3,9191270.833333334,116345.20042194093
1948,acquired,0.0,0.0,1,1,0.0,0.0
1948,closed,0.0,,0,0,,
1948,operating,34326782.5,5721130.416666667,8,6,5667009.083333333,73347.82585470086
1949,acquired,0.0,0.0,1,1,0.0,0.0
1949,closed,0.0,,0,0,,
1949,operating,2300000.0,1150000.0,2,2,1150000.0,14935.064935064936
1951,acquired,0.0,,0,0,,
1951,closed,0.0,,0,0,,
1951,operating,16849812.5,16849812.5,1,1,16849812.5,224664.16666666666
1952,acquired,0.0,,0,0,,
1952,closed,0.0,,0,0,,
1952,operating,28249812.5,9416604.166666666,7,3,3138868.055555556,127251.40765765765
1953,acquired,0.0,,0,0,,
1953,closed,0.0,,0,0,,
1953,operating,12000002.0,6000001.0,2,2,6000001.0,82191.79452054795
1954,acquired,0.0,,0,0,,
1954,closed,0.0,,0,0,,
1954,operating,21738892.5,7246297.5,3,3,7246297.5,100643.02083333333
1955,acquired,0.0,,0,0,,
1955,closed,0.0,,0,0,,
1955,operating,4200000.0,4200000.0,1,1,4200000.0,59154.92957746479
1956,acquired,0.0,,0,0,,
1956,closed,0.0,,0,0,,
1956,operating,1515251.0,1515251.0,1,1,1515251.0,21646.442857142858
1957,acquired,0.0,,0,0,,
1957,closed,0.0,,0,0,,
1957,operating,16849812.5,5616604.166666667,6,3,1404151.0416666667,81400.06038647343
1958,acquired,0.0,,0,0,,
1958,closed,0.0,,0,0,,
1958,operating,22999812.5,5749953.125,8,4,3334351.5625,84558.13419117648
1959,acquired,0.0,,0,0,,
1959,closed,0.0,,0,0,,
1959,operating,1064482.0,532241.0,3,2,266120.5,7943.895522388059
1960,acquired,15500000.0,15500000.0,1,1,15500000.0,234848.48484848486
1960,closed,0.0,,0,0,,
1960,operating,18337899.0,4584474.75,4,4,4584474.75,69461.73863636363
1961,acquired,0.0,,0,0,,
1961,closed,0.0,,0,0,,
1961,operating,33799625.0,11266541.666666666,6,3,4713836.805555556,173331.41025641025
1962,acquired,0.0,,0,0,,
1962,closed,0.0,,0,0,,
1962,operating,9000000.0,9000000.0,1,1,9000000.0,140625.0
1963,acquired,1610000.0,1610000.0,1,1,1610000.0,25555.555555555555
1963,closed,0.0,,0,0,,
1963,operating,16849812.5,8424906.25,2,2,8424906.25,133728.67063492062
1964,acquired,0.0,,0,0,,
1964,closed,4500000.0,4500000.0,1,1,4500000.0,72580.64516129032
1964,operating,8300000.0,1660000.0,5,5,1660000.0,26774.1935483871
1965,acquired,0.0,,0,0,,
1965,closed,0.0,,0,0,,
1965,operating,1300000.0,1300000.0,1,1,1300000.0,21311.475409836065
1966,acquired,0.0,,0,0,,
1966,closed,0.0,,0,0,,
