country_code,Total_Startups,Closed,Avg_Funding_USD,Median_Funding_USD,Avg_Rounds,Failure_Rate_%
USA,28791,1463.0,18956136.3673953,2894276.0,1.8860060435552777,5.08
GBR,2642,156.0,10288152.434763573,1590720.0,1.5412566237698713,5.9
CAN,1405,66.0,11943490.769098712,1800000.0,1.5871886120996441,4.7
CHN,1239,36.0,36009316.245951414,10000000.0,1.7167070217917675,2.91
DEU,968,45.0,13147790.051036682,1890000.0,1.506198347107438,4.65
FRA,866,47.0,6782067.321148825,2141555.0,1.3983833718244805,5.43
IND,849,33.0,23346361.964230172,2400000.0,1.3992932862190812,3.89
ISR,682,47.0,10427753.134775374,4000000.0,1.6187683284457477,6.89
ESP,549,34.0,7941975.4329004325,710445.0,1.477231329690346,6.19
RUS,368,18.0,27733122.911764707,919000.0,1.497282608695652,4.89
SWE,315,18.0,10727868.431226766,2070000.0,1.4603174603174602,5.71
AUS,314,14.0,9770501.593984962,1334327.5,1.484076433121019,4.46
ITA,308,12.0,4097276.680327869,526823.5,1.3733766233766234,3.9
NLD,307,13.0,18810292.63255814,995928.0,1.4625407166123778,4.23
IRL,306,17.0,9530843.631372549,1107075.0,1.473856209150327,5.56
SGP,299,17.0,7291830.827731092,762500.0,1.4983277591973243,5.69
BRA,293,14.0,9547910.399061034,390360.0,1.47098976109215,4.78
CHL,285,4.0,166783.26241134753,40000.0,1.168421052631579,1.4
JPN,284,6.0,13793311.628571428,1959791.5,1.5070422535211268,2.11
KOR,246,2.0,4323031.756880734,528927.0,1.4146341463414633,0.81
CHE,222,8.0,16429392.510869564,3000000.0,1.5585585585585586,3.6
DNK,210,10.0,8165931.3,1963950.0,1.3666666666666667,4.76
FIN,194,8.0,6251534.393258427,1606937.5,1.422680412371134,4.12
ARG,149,8.0,1915940.0431654677,100000.0,1.604026845637584,5.37
BEL,149,8.0,9151207.18382353,1536240.5,1.483221476510067,5.37
HKG,126,9.0,14540934.184210526,520625.0,1.4047619047619047,7.14
TUR,124,2.0,7840839.054347826,800000.0,1.4193548387096775,1.61
AUT,103,9.0,6361037.320512821,1474680.0,1.5436893203883495,8.74
NOR,98,6.0,9156302.542168675,2600000.0,1.4795918367346939,6.12
POL,94,3.0,2310923.4342105263,255000.0,1.2553191489361701,3.19
MEX,83,4.0,9345778.85135135,73598.5,1.3253012048192772,4.82
PRT,69,1.0,2417501.7333333334,394410.0,1.1884057971014492,1.45
BGR,68,0.0,771135.859375,68047.0,1.7352941176470589,0.0
ARE,66,3.0,12479524.038461538,975000.0,1.2272727272727273,4.55
NZL,62,6.0,20076004.814814813,1175685.0,1.564516129032258,9.68
IDN,52,4.0,11098739.5,1100000.0,1.4807692307692308,7.69
ZAF,52,4.0,17018868.44736842,1000000.0,1.2692307692307692,7.69
CZE,51,1.0,7148321.125,248500.0,1.2549019607843137,1.96
MYS,48,6.0,29712172.219512194,500000.0,1.5208333333333333,12.5
UKR,45,0.0,693315.7894736842,150000.0,1.1333333333333333,0.0
EST,44,5.0,1912978.6666666667,353901.5,1.6136363636363635,11.36
HUN,42,2.0,1236182.4516129033,500000.0,1.1428571428571428,4.76
TWN,41,1.0,26567915.774193548,4300000.0,1.3658536585365855,2.44
THA,38,1.0,2394366.724137931,640000.0,1.236842105263158,2.63
COL,35,0.0,1651905.7,81524.5,1.457142857142857,0.0
PHL,32,1.0,12656011.958333334,237500.0,1.34375,3.12
GRC,31,1.0,831563.2666666667,264625.5,1.3548387096774193,3.23
LTU,31,0.0,3956713.217391304,273453.0,1.3225806451612903,0.0
PER,30,2.0,878088.724137931,50000.0,1.4,6.67
NGA,29,1.0,13797120.0,210000.0,1.4137931034482758,3.45
KEN,24,0.0,15058698.631578946,500000.0,1.5,0.0
EGY,23,0.0,28695986.4,237000.0,1.173913043478261,0.0
LUX,22,2.0,30468875.95,1981212.5,1.5,9.09
ROM,22,1.0,905137.1428571428,68630.0,1.2727272727272727,4.55
VNM,21,1.0,23880056.555555556,3000000.0,1.1904761904761905,4.76
JOR,20,2.0,1741557.6,162000.0,1.35,10.0
DZA,20,0.0,60841.4,40000.0,1.1,0.0
PAK,18,3.0,798833.3333333334,162500.0,1.2222222222222223,16.67
ISL,16,2.0,3281002.1333333333,215000.0,1.3125,12.5
SVK,15,0.0,960772.8181818182,276672.0,1.2,0.0
LBN,13,0.0,595727.2727272727,376500.0,1.3846153846153846,0.0
LVA,12,1.0,1413044.6666666667,257320.0,1.4166666666666667,8.33
CYP,12,0.0,5033275.666666667,1402310.0,1.8333333333333333,0.0
URY,12,0.0,1258000.0,182500.0,1.3333333333333333,0.0
SVN,11,1.0,501300.2727272727,252040.0,1.0909090909090908,9.09
CYM,11,0.0,15225785.7,10126500.0,1.3636363636363635,0.0
GHA,11,0.0,253516.42857142858,100000.0,1.1818181818181819,0.0
UGA,10,1.0,495500.0,71000.0,1.2,10.0
KHM,10,0.0,240000.0,240000.0,1.0,0.0
SRB,10,0.0,629582.6666666666,135370.0,1.1,0.0
HRV,8,0.0,637627.2857142857,182324.0,1.625,0.0
BGD,7,0.0,6871282.0,150000.0,2.2857142857142856,0.0
SAU,7,0.0,9162244.166666666,170000.0,1.5714285714285714,0.0
TZA,7,0.0,2169000.0,1490000.0,1.1428571428571428,0.0
CRI,6,1.0,179000.0,147000.0,1.0,16.67
PAN,5,0.0,1025600.0,775000.0,1.0,0.0
BMU,4,0.0,250555333.33333334,210000000.0,1.25,0.0
BWA,4,0.0,567838.0,385176.0,1.0,0.0
GTM,4,0.0,313678.0,230000.0,1.75,0.0
BHR,3,1.0,60634.5,60634.5,1.3333333333333333,33.33
AZE,3,0.0,124000.0,162000.0,1.3333333333333333,0.0
BLR,3,0.0,40000.0,20000.0,1.0,0.0
DOM,3,0.0,604132.0,604132.0,1.6666666666666667,0.0
MAR,3,0.0,1600000.0,1600000.0,1.3333333333333333,0.0
MLT,3,0.0,4419240.0,1455000.0,1.0,0.0
SLV,3,0.0,146666.66666666666,50000.0,1.3333333333333333,0.0
TUN,3,0.0,1985000.0,1985000.0,1.3333333333333333,0.0
MKD,2,1.0,38484.0,38484.0,1.0,50.0
ARM,2,0.0,13406488.0,13406488.0,2.5,0.0
BHS,2,0.0,5050000.0,5050000.0,1.0,0.0
CMR,2,0.0,59780.5,59780.5,1.0,0.0
ECU,2,0.0,40000.0,40000.0,1.5,0.0
GIB,2,0.0,9972456.0,9972456.0,2.5,0.0
KWT,2,0.0,7025000.0,7025000.0,1.0,0.0
LAO,2,0.0,,,1.0,0.0
MDA,2,0.0,46700.0,46700.0,1.5,0.0
MMR,2,0.0,350000.0,350000.0,1.0,0.0
NIC,2,0.0,1759600.0,1759600.0,1.0,0.0
NPL,2,0.0,150000.0,150000.0,1.0,0.0
SOM,1,1.0,2000000.0,2000000.0,1.0,100.0
SYC,1,1.0,35000.0,35000.0,1.0,100.0
ALB,1,0.0,,,1.0,0.0
BRN,1,0.0,,,1.0,0.0
CIV,1,0.0,60000.0,60000.0,1.0,0.0
JAM,1,0.0,32000.0,32000.0,1.0,0.0
JEY,1,0.0,,,1.0,0.0
LIE,1,0.0,7500000.0,7500000.0,1.0,0.0
MAF,1,0.0,29220000.0,29220000.0,2.0,0.0
MCO,1,0.0,657000.0,657000.0,1.0,0.0
MOZ,1,0.0,,,1.0,0.0
MUS,1,0.0,200000.0,200000.0,2.0,0.0
OMN,1,0.0,10000.0,10000.0,1.0,0.0
TTO,1,0.0,150000.0,150000.0,1.0,0.0
UZB,1,0.0,90000.0,90000.0,1.0,0.0
ZWE,1,0.0,10000000.0,10000000.0,1.0,0.0
