KPI,Value
Total Startups Analysed,33613.0
Overall Failure Rate (%),5.07
Operating Rate (%),87.08
Acquisition Rate (%),7.85
IPO Rate (%),0.0
Median Funding — Closed ($),850002.0
Median Funding — Operating ($),1750000.0
Funding Gap (Operating vs Closed) ($),899998.0
Avg Funding Rounds — Closed,1.45
Avg Funding Rounds — Operating,1.76
Avg Funding Rounds — Acquired,2.1
Series A Failure Rate (%),4.71
Pre-Series A Failure Rate (%),5.21
USA Startup Failure Rate (%),4.93
Non-USA Startup Failure Rate (%),5.31
