founded_year,Total_Startups,Closed,Avg_Funding_USD,Failure_Rate_%
1990.0,87,3.0,22124289.194444444,3.45
1991.0,92,1.0,52180910.7012987,1.09
1992.0,115,2.0,28625952.606382977,1.74
1993.0,129,5.0,70434601.07207207,3.88
1994.0,156,4.0,22970850.818181816,2.56
1995.0,224,3.0,35193419.966292135,1.34
1996.0,304,8.0,26675807.81007752,2.63
1997.0,359,9.0,25190754.555555556,2.51
1998.0,437,12.0,31847584.423913043,2.75
1999.0,758,33.0,29821552.590163935,4.35
2000.0,888,39.0,25983834.372327045,4.39
2001.0,741,22.0,31188326.91502276,2.97
2002.0,788,38.0,28342212.42577031,4.82
2003.0,965,58.0,32290741.326812427,6.01
2004.0,1155,72.0,34601665.7208619,6.23
2005.0,1417,105.0,29334478.688434303,7.41
2006.0,1807,162.0,23203839.126182966,8.97
2007.0,2331,241.0,24312689.699951053,10.34
2008.0,2348,218.0,15155178.164328657,9.28
2009.0,2979,254.0,12570107.583865814,8.53
2010.0,3773,289.0,8968732.691408718,7.66
2011.0,4905,251.0,6190089.4731767615,5.12
2012.0,5211,116.0,4660443.722012281,2.23
2013.0,4044,27.0,2868925.4239645908,0.67
2014.0,1469,2.0,1865967.9950738917,0.14
